word,비교A,비교B
카드뮴(Cd;Cadmium),1,1
플라이 애쉬(Fly ash),1,1
"폴리염화비닐(PVC, Polyvinyl chloride)",1,1
폴리클로리네이티드비페닐(PCB),1,1
프레온(Freon),1,1
폐기물(Solid waste),1,1
폐수(Industrial wastewater),1,1
탄화수소(Hydrocarbon),1,1
탈산소계수(K1),1,1
통기성균(Facultative bacteria),1,1
특별대책지역,1,1
특정유해물질,1,1
특정폐기물,1,1
TOC(Total organic carbon),1,1
THM(Trihalo methane),1,1
TLm(Median tolerance limit),1,1
텐타시설(Tenter M/C),1,1
퇴비화처리(Composting),1,1
하수(Sewage),1,1
하수종말처리장(Sewage treatment plant),1,1
할론(Halon),1,1
합성세제(Detergents),1,1
합류식관거(Combined sewer),1,1
혐기성 분해(Anaerobic mineralization),1,1
호기성 분해(Aerobic digestion),1,1
환경기준(Environmental standard),1,1
환경마크(E-마크),1,1
환경산업,1,1
"환경영향평가(EIA, Environmental Impact Assessment)",1,1
활성오니(Activated sludge),1,1
활성오니법(Activated sludge process),1,1
활성탄(Activated carbon),1,1
황사현상,1,1
DO(Dissolved Oxygen),1,1
SS(Suspended Solid),1,1
MLSS(Mixed Liquor Suspended Solid),1,1
RDF(Refuse Derived Fuel),1,1
침출수,1,1
하수·분뇨처리장 ,1,1
산업폐수,1,1
1차 쓰레기 전쟁(1 waste war),1,1
2차 쓰레기 전쟁(2waste war),1,1
간이하수처리,1,1
공공수역,1,1
공업용수,1,1
라돈,1,1
람샤르조약,1,1
무기탄소(IC),1,1
물의급수,1,1
박테리아,1,1
배수규제,1,1
배출권거래,1,1
분리수거,1,1
야생동물보호법,1,1
암모니아성질소,1,1
자정작용,1,1
정수,1,1
무산소처리,1,1
"미세먼지(PM2.5, PM10)",1,1
미세먼지 관리 특별대책,1,1
미세먼지 예경보제,1,1
대기오염물질 총량관리제도,1,1
도로 재비산먼지,1,1
바이오 페기물 고형연료(Bio-SRF),1,1
독성시험,1,1
악취물질,1,1
미세플라스틱,1,1
