시·엔 비(C/N ration),1,
색도,1,
생물농축(Biological concentration),1,
생물다양성협약(Biodiversity Convention),1,
생물학적 지표(Biological index),1,
생물학적처리(Biological treatment),1,
생물화학적 산소요구량(Biochemical oxygen demand),1,
생태계(Ecosystem),1,
생태학(Ecology),0,
아젠다 21(Agenda 21),1,
안정지(Stabilization pond,1,
알칼리염소처리(Alkaline chlorination),1,
알킬수은(Akylmercury,1,
알킬벤젠슬폰산염(ABS),1,
양이온교환수지(Cation exchange resin),1,
"에스에이알(SAR, sodium absorption ratio)",1,
엘니뇨 현상,1,
역전층(Inversion layer),1,
열섬현상,1,
염기(Base),1,
염기성(Basic),1,
염소소독(Chlorine disinfection),1,
염소요구량(Chlorine demand),1,
염화불화탄소(Chlorofluoro carbons),1,
ODA(Official Development assistance),1,
오수(Domestic wastewater),1,
오수정화시설,1,
오염(Pollution),1,
"오염자 부담원칙(Polluters Pay Principle, 3P)",1,
"오존(Ozone, O3)",1,
오존파괴지수(Ozone depletion potential),1,
온실효과(Greenhous effect),1,
"용존산소(DO, Dissolved oxygen)",1,
용존산소측정기(DO meter),0,
우수토실(Storm overflow diverging tank),1,
유엔환경계획기구(UNEP),1,
유화제(Emulsifier),1,
음이온교환수지(Anion-exchange resin),1,
음이온 계면 활성제(Anionic surfactant),1,
음용수 수질기준,0,
응결(Coagulation),1,
응집침전(Coagulation settling),1,
이산화탄소(CO2 ; Carbon dioxide),1,
이화작용,1,
이따이이따이병(Itai Itai disease),0,
인간환경선언,1,
"인포테라(INFOTERRA, International referral System)",1,
일반폐기물,1,
"일산화탄소(CO, carbon monoxide)",1,
입자상 오염물 ,1,
에너지(Energy),1,
NGO(Non-Governmental Organization),1,
원심력 집진시설(Cyclone),1,
원자흡광분석법(Atomic absorption analysis),1,
자동차 결함시정제도(Recall system),1,
적조현상(Red tide),1,
전기집진기(Electroprecipitator),1,
전도현상( Turn over),1,
점오염원(Point source),1,
점토(Clay),1,
접촉산화법(Contact oxidation method),1,
접촉안정법(Contact stabilization method),1,
접촉여과법(Contact filtration),1,
정화조(Septic tanks),1,
조류(Algae),1,
중금속(Heavy metal),1,
중성세제(Detergents),1,
중화제(Neutralization agent),1,
"지속개발위원회(CSD, Commission on Sustainable Development) ",1,
GEF(Global Environment Facility),1,
G-7프로젝트,1,
질소산화물(Nitrogen oxides),1,
집진장치(Dust collector),1,
재사용(Reuse),1,
재활용(Recycling),1,
총량규제,1,
축산폐수(Animal wastewater),1,
침전(Precipitation),1,
침출수(Leachate),1,
카드뮴(Cd;Cadmium),1,
플라이 애쉬(Fly ash),1,
"폴리염화비닐(PVC, Polyvinyl chloride)",1,
폴리클로리네이티드비페닐(PCB),1,
프레온(Freon),1,
표준상태,1,
"피에이엔( PAN, Peroxyacetyl nitrate)",0,
피엠 텐(PM 10),0,
피피비(ppb),1,
피피엠(ppm),1,
폐기물(Solid waste),1,
폐수(Industrial wastewater),1,
탄화수소(Hydrocarbon),1,
탈산소계수(K1),1,
통기성균(Facultative bacteria),1,
특별대책지역,1,
특정유해물질,1,
특정폐기물,1,
TOC(Total organic carbon),1,
THM(Trihalo methane),1,
TLm(Median tolerance limit),1,
텐타시설(Tenter M/C),1,
퇴비화처리(Composting),1,
하수(Sewage),1,
하수종말처리장(Sewage treatment plant),1,
할론(Halon),1,
합성세제(Detergents),1,
합류식관거(Combined sewer),1,
혐기성 분해(Anaerobic mineralization),1,
호기성 분해(Aerobic digestion),1,
흡광광도분석법,0,
환경기준(Environmental standard),1,
환경마크(E-마크),1,
환경산업,1,
"환경영향평가(EIA, Environmental Impact Assessment)",1,
활성오니(Activated sludge),1,
활성오니법(Activated sludge process),1,
활성탄(Activated carbon),1,
"회전원판접촉법(PBC, Rotating biological contactors) ",0,
황사현상,1,
ppm,1,
DO(Dissolved Oxygen),1,
SS(Suspended Solid),1,
T-N(Total Nitrogen),1,
T-P(Total Phosphorus),1,
TS(Total Solids),1,
VS(Volatile Solids),1,
pH(Potential Hydrogen),1,
MLSS(Mixed Liquor Suspended Solid),1,
RDF(Refuse Derived Fuel),1,
ASNA(Artificial Soil Net Agglutination : 법면녹화배토습식공법),1,
침출수,1,
하수·분뇨처리장 ,1,
산업폐수,1,
가네미사건(PCB사건),0,
다이옥신(Dioxin) 사건,0,
도노라(Donora)스모그 사건,0,
디디티(D.D.T)와 환경문제,0,
러브커넬(Love Canal)사건,0,
런던 스모그 사건,0,
로스엔젤레스(Los Angeles) 스모그사건,0,
마이아미(Miami) 산업폐기물 사건,0,
미나마따병(Minamata Disease),0,
뮈즈(Meuse)계곡 사건,0,
산도즈 화학공장 유출사건,0,
산성우 사건,0,
알라바마(Alabama)주 사건,0,
오하이오(Ohio River Park)사건,0,
이따이이따이 병(Itai Itai Bisease),0,
인도보팔사건,0,
지하수 오염 사건,0,
키안시(Khian Sea)호 사건,0,
"키에스 사건(KIES, Kansas Industrial Environmental Services)",0,
케폰사건(Kepone),0,
트리마일섬 사고(TMI),0,
테임즈강 오염사건,0,
피시비(PCB) 사건,0,
페놀사건(Phenol),0,
펜실베니아(Pennsylvania) 사건,0,
폐기물 위장수입사건,0,
1차 쓰레기 전쟁(1 waste war),1,
2차 쓰레기 전쟁(2waste war),1,
간이하수처리,1,
공공수역,1,
공업용수,1,
라돈,1,
람샤르조약,1,
무기탄소(IC),1,
물의급수,1,
박테리아,1,
배수규제,1,
배출권거래,1,
분리수거,1,
야생동물보호법,1,
암모니아성질소,1,
자정작용,1,
정수,1,
무산소처리,1,
"미세먼지(PM2.5, PM10)",1,
미세먼지 관리 특별대책,1,
미세먼지 예경보제,1,
대기오염물질 총량관리제도,1,
도로 재비산먼지,1,
바이오 페기물 고형연료(Bio-SRF),1,
독성시험,1,
악취물질,1,
미세플라스틱,1,
빛공해(광공해),1,
비닐공해,1,
소음공해,1,
열오염(온배수공해),1,
ISO(국제표준화기구),1,
온실가스 저감인증(CERs),1,
음식물류 폐기물 종량제,1,
매립가스(LFG),1,
